anonID,importId,goal,goal_number,goal_type,optimal_moves,move_id,move,move_utility
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,0,"(65, 84)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,1,"(83, 85)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,2,"(105, 68)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,3,"(107, 67)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,4,"(101, 66)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,5,"(100, 48)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,6,"(63, 30)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,7,"(81, 12)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,8,"(99, 49)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,9,"(80, 50)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,10,"(98, 31)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,11,"(97, 32)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,12,"(78, 13)",1
MtbTXANUqM,53968,fill nocolor C1,6,fill,14,13,"(96, 14)",1
MtbTXANUqM,53968,move blue C1,7,move,15,0,"(75, 84)",1
MtbTXANUqM,53968,move blue C1,7,move,15,1,"(63, 82)",1
MtbTXANUqM,53968,move blue C1,7,move,15,2,"(81, 66)",1
MtbTXANUqM,53968,move blue C1,7,move,15,3,"(65, 81)",1
MtbTXANUqM,53968,move blue C1,7,move,15,4,"(83, 63)",1
MtbTXANUqM,53968,move blue C1,7,move,15,5,"(101, 85)",1
MtbTXANUqM,53968,move blue C1,7,move,15,6,"(105, 68)",1
MtbTXANUqM,53968,move blue C1,7,move,15,7,"(80, 79)",1
MtbTXANUqM,53968,move blue C1,7,move,15,8,"(98, 67)",1
MtbTXANUqM,53968,move blue C1,7,move,15,9,"(93, 48)",1
MtbTXANUqM,53968,move blue C1,7,move,15,10,"(74, 93)",1
MtbTXANUqM,53968,move blue C1,7,move,15,11,"(92, 49)",1
MtbTXANUqM,53968,move blue C1,7,move,15,12,"(58, 75)",1
MtbTXANUqM,53968,move blue C1,7,move,15,13,"(76, 57)",1
MtbTXANUqM,53968,move blue C1,7,move,15,14,"(94, 50)",1
MtbTXANUqM,53968,move green A1,8,move,9,0,"(58, 90)",1
MtbTXANUqM,53968,move green A1,8,move,9,1,"(78, 72)",1
MtbTXANUqM,53968,move green A1,8,move,9,2,"(96, 54)",1
MtbTXANUqM,53968,move green A1,8,move,9,3,"(63, 36)",1
MtbTXANUqM,53968,move green A1,8,move,9,4,"(65, 55)",1
MtbTXANUqM,53968,move green A1,8,move,9,5,"(83, 56)",1
MtbTXANUqM,53968,move green A1,8,move,9,6,"(103, 38)",1
MtbTXANUqM,53968,move green A1,8,move,9,7,"(81, 82)",1
MtbTXANUqM,53968,move green A1,8,move,9,8,"(99, 37)",1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,0,"(58, 90)",1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,1,"(76, 41)",1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,2,"(63, 60)",1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,3,"(81, 62)",-1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,4,"(60, 84)",-1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,5,"(78, 76)",-1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,6,"(65, 82)",1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,7,"(74, 55)",1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,8,"(76, 37)",1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,9,"(62, 79)",1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,10,"(80, 23)",1
