"anonID","importId","goal","goal_number","goal_type","min_moves","move_id","move","move_utility","move_type","gameId","playerId"
"Pahd3wUdt8","47326","move red B1",8,"move",9,8,"(69, 26)",1,"useful","0a717cc3-5560-4473-b234-5a484a86be9c","13160"
"1fQKinsJth","39277","cover green all",3,"cover",7,0,"(60, 56)",1,"useful","f2ada092-7dfe-49b2-861a-12765d5a2d62","5eaf3e142627076426921b1b"
"1fQKinsJth","39277","cover green all",3,"cover",7,1,"(64, 69)",1,"useful","f2ada092-7dfe-49b2-861a-12765d5a2d62","5eaf3e142627076426921b1b"
"1fQKinsJth","39277","cover green all",3,"cover",7,2,"(79, 70)",1,"useful","f2ada092-7dfe-49b2-861a-12765d5a2d62","5eaf3e142627076426921b1b"
"1fQKinsJth","39277","cover green all",3,"cover",7,3,"(78, 68)",1,"useful","f2ada092-7dfe-49b2-861a-12765d5a2d62","5eaf3e142627076426921b1b"
"1fQKinsJth","39277","cover green all",3,"cover",7,4,"(82, 84)",1,"useful","f2ada092-7dfe-49b2-861a-12765d5a2d62","5eaf3e142627076426921b1b"
"1fQKinsJth","39277","cover green all",3,"cover",7,5,"(100, 83)",1,"useful","f2ada092-7dfe-49b2-861a-12765d5a2d62","5eaf3e142627076426921b1b"
"1fQKinsJth","39277","cover green all",3,"cover",7,6,"(99, 75)",1,"useful","f2ada092-7dfe-49b2-861a-12765d5a2d62","5eaf3e142627076426921b1b"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,0,"(104, 70)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,1,"(85, 71)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,2,"(66, 51)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
