anonID,importId,goal,first_move,first_move_rank,first_move_possible_goals,before_first_move,first_move_serves_goal,total_moves_serves_goal,mean_random_samples_rank,first_move_possible_goal_goals
voyCLp4kxH,39277,move blue B,"(94, 98)",1,5,"[(85, 81)]",1.0,36,17.511,"['fill nocolor B1', 'clear nocolor A', 'move blue B', 'move blue B1', 'clear nocolor A2']"
voyCLp4kxH,39277,move green B,"(74, 98)",31,13,"[(87, 83) (93, 98) (102, 98) (87, 98) (93, 42) (93, 46) (93, 61) (93, 81)
 (93, 83) (102, 42) (102, 46) (102, 61) (102, 81) (102, 83) (72, 83)
 (74, 42) (74, 46) (74, 61) (86, 42) (86, 46) (86, 61) (87, 42) (87, 46)
 (87, 61) (87, 81) (88, 42) (88, 46) (88, 61) (72, 76) (72, 77) (72, 98)]",1.0,56,26.805,"['move red C1', 'fill nocolor B1', 'move red C', 'clear nocolor A', 'move red B', 'move green B', 'move red B2', 'clear nocolor A1', 'move red C2', 'uncover red all', 'move green B1', 'move red A2', 'move red B1']"
voyCLp4kxH,39277,uncover green all,"(55, 77)",22,20,"[(87, 89) (87, 67) (87, 98) (87, 42) (87, 46) (87, 61) (87, 76) (87, 77)
 (87, 81) (72, 76) (72, 77) (72, 98) (72, 42) (72, 46) (72, 61) (72, 67)
 (72, 81) (72, 89) (55, 42) (55, 46) (55, 61) (55, 76)]",1.0,27,12.799,"['move red C1', 'move red C', 'move red B', 'fill nocolor A2', 'move green B2', 'move green B', 'move red B2', 'clear nocolor A1', 'move red C2', 'uncover red all', 'move green B1', 'move green C', 'uncover green all', 'cover blue all', 'move red A2', 'move green A2', 'move blue A2', 'move green C2', 'move green C1', 'move red B1']"
voyCLp4kxH,39277,uncover red all,"(60, 98)",24,9,"[(64, 81) (79, 98) (60, 81) (79, 81) (79, 83) (79, 54) (79, 67) (79, 69)
 (79, 75) (79, 76) (79, 77) (79, 84) (79, 89) (60, 54) (60, 67) (60, 76)
 (60, 77) (60, 89) (64, 54) (64, 67) (64, 76) (64, 77) (64, 89) (55, 54)]",1.0,77,37.469,"['move blue C1', 'move blue A', 'uncover blue all', 'uncover red all', 'move blue C2', 'move blue B2', 'move blue A1', 'move blue A2', 'move blue C']"
SwLumK1iN9,29690,clear nocolor C1,"(86, 87)",0,3,[],1.0,45,22.358,"['fill nocolor C2', 'move green C2', 'clear nocolor C1']"
SwLumK1iN9,29690,clear nocolor C2,"(105, 84)",2,4,"[(105, 67) (105, 68)]",1.0,45,22.09,"['fill nocolor C1', 'clear nocolor C2', 'cover green all', 'move green C1']"
SwLumK1iN9,29690,cover blue all,"(60, 37)",23,7,"[(77, 57) (77, 58) (77, 37) (60, 57) (79, 57) (100, 37) (100, 57)
 (100, 58) (101, 37) (101, 57) (101, 58) (102, 37) (102, 57) (102, 58)
 (105, 37) (105, 57) (105, 58) (106, 37) (106, 57) (106, 58) (107, 37)
 (107, 57) (107, 58)]",1.0,35,17.569,"['move red A1', 'move red A', 'fill nocolor A1', 'uncover red all', 'clear nocolor B1', 'cover blue all', 'clear nocolor B']"
SwLumK1iN9,29690,cover red all,"(86, 89)",13,5,"[(105, 88) (105, 89) (106, 89) (107, 88) (100, 42) (100, 44) (100, 61)
 (101, 42) (101, 44) (101, 61) (102, 88) (102, 89) (86, 88)]",1.0,58,29.152,"['cover red all', 'uncover green all', 'fill nocolor C2', 'move green C2', 'clear nocolor C1']"
SwLumK1iN9,29690,fill nocolor C1,"(105, 84)",2,4,"[(105, 67) (105, 68)]",1.0,39,18.151,"['fill nocolor C1', 'clear nocolor C2', 'cover green all', 'move green C1']"
SwLumK1iN9,29690,fill nocolor C2,"(86, 89)",10,5,"[(86, 87) (102, 87) (102, 88) (102, 89) (60, 88) (60, 89) (77, 87)
 (79, 88) (79, 89) (86, 88)]",1.0,39,19.878,"['cover red all', 'uncover green all', 'fill nocolor C2', 'move green C2', 'clear nocolor C1']"
