experiment,ID,anonID,importId,goal_type,first_move_serves_goal,stepwise_salience,euclidean_salience,random_stepwise_salience,random_euclidean_salience
E1,36524.0,,36524.0,clear,1.0,6,5.0990195135927845,6.788,5.249005912390257
E1,36524.0,,36524.0,cover,1.0,14,13.038404810405298,8.119,7.629589022096445
E1,36524.0,,36524.0,move,0.0,1,1.0,6.733,5.194095959914534
E1,36524.0,,36524.0,clear,1.0,3,2.23606797749979,6.714,5.1934428832338435
E1,36524.0,,36524.0,fill,0.0,4,3.1622776601683795,6.811,5.278707010137985
E1,36524.0,,36524.0,cover,1.0,1,1.0,8.186,7.720895142793866
E1,36524.0,,36524.0,uncover,1.0,0,0.0,8.131,7.638157332446788
E1,78276.0,,78276.0,cover,1.0,6,5.0990195135927845,8.209,7.843759415161893
E1,78276.0,,78276.0,uncover,1.0,7,7.0,8.219,7.836171669583517
E1,78276.0,,78276.0,move,1.0,11,8.54400374531753,6.235,4.916550993315744
E1,78276.0,,78276.0,clear,1.0,2,1.4142135623730951,6.279,4.921455868104729
E1,78276.0,,78276.0,uncover,1.0,3,3.0,7.874,7.49330619623817
E1,78276.0,,78276.0,cover,1.0,1,1.0,8.15,7.7650353244994745
E1,78276.0,,78276.0,clear,1.0,0,0.0,6.321,4.986402624720791
E1,78276.0,,78276.0,fill,1.0,4,3.1622776601683795,6.301,4.934175135680207
E1,78276.0,,78276.0,fill,1.0,3,2.23606797749979,6.153,4.816570544933486
E1,78276.0,,78276.0,move,1.0,8,7.0710678118654755,6.248,4.905085973426891
E1,99977.0,,99977.0,move,0.0,9,7.280109889280518,6.557,5.161664357553595
E1,99977.0,,99977.0,cover,1.0,16,15.033296378372908,7.51,7.0893606316356665
E1,99977.0,,99977.0,fill,1.0,4,3.1622776601683795,6.455,5.062659988721207
E1,99977.0,,99977.0,cover,1.0,2,1.4142135623730951,7.621,7.197511073647075
E1,99977.0,,99977.0,uncover,1.0,4,4.0,7.652,7.23247913233418
E1,99977.0,,99977.0,uncover,1.0,9,9.0,7.484,7.081216561777778
E1,99977.0,,99977.0,clear,1.0,0,0.0,6.327,4.961940427261183
E1,99977.0,,99977.0,fill,1.0,2,2.0,6.342,4.9847560017317925
E1,99977.0,,99977.0,clear,1.0,7,6.082762530298219,6.359,4.996701241215691
E1,99977.0,,99977.0,move,1.0,3,2.23606797749979,6.468,5.072085984288753
E1,50905.0,,50905.0,cover,1.0,17,16.0312195418814,8.165,7.802428099562834
E1,50905.0,,50905.0,cover,1.0,2,2.0,8.102,7.765071992388211
E1,50905.0,,50905.0,clear,1.0,5,3.605551275463989,6.836,5.277382829420782
E1,50905.0,,50905.0,uncover,1.0,12,12.0,8.265,7.922674683858484
E1,50905.0,,50905.0,clear,1.0,0,0.0,6.702,5.157371848256429
E1,50905.0,,50905.0,fill,1.0,2,2.0,6.719,5.206305142346509
E1,50905.0,,50905.0,fill,1.0,3,3.0,6.894,5.328938816547436
E1,50905.0,,50905.0,move,1.0,10,8.246211251235321,6.794,5.249935460652836
E1,50905.0,,50905.0,uncover,1.0,9,9.0,8.179,7.825719473200624
E1,50905.0,,50905.0,move,1.0,5,5.0,6.715,5.204885120841628
E1,75842.0,,75842.0,cover,1.0,2,2.0,8.615,8.025160762204473
E1,75842.0,,75842.0,fill,1.0,3,2.23606797749979,6.863,5.364241477857352
E1,75842.0,,75842.0,cover,1.0,1,1.0,8.251,7.715372015173326
E1,75842.0,,75842.0,clear,1.0,10,8.246211251235321,6.868,5.372868570093793
E1,75842.0,,75842.0,clear,1.0,7,5.0,6.907,5.415100059434143
E1,75842.0,,75842.0,fill,1.0,6,6.0,6.743,5.281248216947217
E1,75842.0,,75842.0,move,1.0,3,2.23606797749979,7.031,5.507260087858744
E1,75842.0,,75842.0,move,1.0,3,2.23606797749979,6.805,5.314027804972852
E1,75842.0,,75842.0,uncover,1.0,2,2.0,8.127,7.594663707156034
E1,75842.0,,75842.0,uncover,1.0,7,7.0,8.243,7.7120235675754705
E1,49589.0,,49589.0,uncover,0.0,2,2.0,8.506,8.086216369448037
E1,49589.0,,49589.0,uncover,1.0,2,1.4142135623730951,8.368,7.973433589731354
E1,49589.0,,49589.0,move,1.0,6,5.0990195135927845,6.673,5.140354700634387
E1,49589.0,,49589.0,clear,1.0,1,1.0,6.736,5.1805839231372905
E1,49589.0,,49589.0,clear,1.0,1,1.0,6.605,5.099708197840071
E1,49589.0,,49589.0,move,1.0,3,2.23606797749979,6.493,5.012073028803712
E1,49589.0,,49589.0,fill,1.0,13,12.041594578792296,6.569,5.061104164358809
E1,49589.0,,49589.0,cover,1.0,4,3.1622776601683795,8.762,8.32319951702069
E1,49589.0,,49589.0,fill,1.0,3,2.23606797749979,6.504,5.009078665898182
E1,49589.0,,49589.0,cover,0.0,2,2.0,8.315,7.915722018616202
E1,53463.0,,53463.0,fill,1.0,2,2.0,6.936,5.4221651450604655
E1,53463.0,,53463.0,fill,1.0,3,2.23606797749979,6.972,5.438135198923638
E1,53463.0,,53463.0,clear,1.0,8,7.0710678118654755,6.9,5.4054014986746335
E1,53463.0,,53463.0,clear,1.0,2,1.4142135623730951,6.937,5.399738857611084
E1,53463.0,,53463.0,move,1.0,7,7.0,7.007,5.476933611253798
E1,53463.0,,53463.0,move,1.0,16,15.033296378372908,6.912,5.399093200527528
E1,53463.0,,53463.0,uncover,1.0,10,9.055385138137417,8.197,7.731229759481186
E1,53463.0,,53463.0,cover,1.0,10,9.055385138137417,8.259,7.760932168303498
E1,53463.0,,53463.0,cover,1.0,7,7.0,8.104,7.6100239222551975
E1,53463.0,,53463.0,uncover,1.0,1,1.0,8.1,7.609308836679889
E1,27371.0,,27371.0,move,0.0,5,4.123105625617661,6.431,4.969911398520983
E1,27371.0,,27371.0,cover,1.0,17,16.0312195418814,8.521,7.872955391320384
E1,27371.0,,27371.0,move,1.0,13,12.041594578792296,6.564,5.096280166290391
E1,27371.0,,27371.0,fill,1.0,7,6.082762530298219,6.294,4.869067817527395
E1,27371.0,,27371.0,clear,1.0,2,1.4142135623730951,6.438,5.001557233644892
E1,27371.0,,27371.0,uncover,1.0,16,15.033296378372908,8.573,7.9288205311998015
E1,27371.0,,27371.0,uncover,1.0,16,15.033296378372908,8.579,7.92500294614238
E1,27371.0,,27371.0,cover,1.0,16,15.033296378372908,8.314,7.690817873767951
E1,27371.0,,27371.0,clear,1.0,10,8.246211251235321,6.636,5.121588516873644
E1,27371.0,,27371.0,fill,1.0,7,7.0,6.51,5.044691082921541
E1,20272.0,,20272.0,fill,-1.0,1,1.0,6.836,5.338198216012202
E1,20272.0,,20272.0,move,1.0,7,6.082762530298219,6.833,5.383610938322991
E1,20272.0,,20272.0,cover,1.0,17,16.0312195418814,8.229,7.716743066527811
E1,20272.0,,20272.0,clear,1.0,1,1.0,6.763,5.285355362310994
E1,20272.0,,20272.0,clear,1.0,1,1.0,6.915,5.413503491377148
E1,20272.0,,20272.0,cover,1.0,0,0.0,7.966,7.465021432500341
E1,20272.0,,20272.0,move,1.0,4,3.1622776601683795,6.792,5.315019251019703
E1,20272.0,,20272.0,uncover,1.0,1,1.0,8.503,7.966794603663712
E1,20272.0,,20272.0,fill,1.0,4,3.1622776601683795,6.824,5.346156810926275
E1,20272.0,,20272.0,uncover,1.0,13,13.0,7.959,7.447780306766761
E1,19487.0,,19487.0,cover,1.0,5,5.0,8.311,7.857606403079801
E1,19487.0,,19487.0,move,1.0,10,8.246211251235321,6.843,5.347101939263342
E1,19487.0,,19487.0,cover,1.0,2,2.0,8.184,7.738533983284859
E1,19487.0,,19487.0,uncover,1.0,2,1.4142135623730951,8.606,8.152361961971271
E1,19487.0,,19487.0,fill,1.0,3,2.23606797749979,6.821,5.32141626577457
E1,19487.0,,19487.0,fill,1.0,4,3.1622776601683795,6.739,5.269116635642811
E1,19487.0,,19487.0,clear,1.0,1,1.0,7.009,5.485054735032734
E1,19487.0,,19487.0,move,0.0,2,1.4142135623730951,6.867,5.376471579084647
E1,19487.0,,19487.0,uncover,1.0,2,1.4142135623730951,8.531,8.059675579538569
E1,19487.0,,19487.0,clear,1.0,2,1.4142135623730951,6.916,5.414862635720158
E1,20340.0,,20340.0,fill,1.0,7,6.082762530298219,6.654,5.2179316610877855
E1,20340.0,,20340.0,move,1.0,9,7.280109889280518,6.66,5.215725940737612
E1,20340.0,,20340.0,clear,1.0,1,1.0,6.604,5.169630463678702
E1,20340.0,,20340.0,uncover,1.0,4,4.0,8.412,7.975273608264449
E1,20340.0,,20340.0,uncover,1.0,0,0.0,8.598,8.162163455114838
E1,20340.0,,20340.0,clear,1.0,1,1.0,6.72,5.272357477124832
E1,20340.0,,20340.0,cover,1.0,12,11.045361017187261,8.394,7.957656488194751
E1,20340.0,,20340.0,move,1.0,10,8.246211251235321,6.548,5.1104396450926215
E1,20340.0,,20340.0,cover,1.0,12,11.045361017187261,8.685,8.214381344168666
E1,20340.0,,20340.0,fill,1.0,3,2.23606797749979,6.686,5.215779072980275
E1,68825.0,,68825.0,uncover,0.0,2,1.4142135623730951,8.36,7.844752611198104
E1,68825.0,,68825.0,clear,1.0,8,6.324555320336759,6.845,5.354745413021679
E1,68825.0,,68825.0,cover,1.0,5,4.123105625617661,8.092,7.601222911479455
E1,68825.0,,68825.0,move,1.0,4,2.8284271247461903,6.882,5.368132700894499
E1,68825.0,,68825.0,fill,1.0,3,2.23606797749979,6.885,5.381073423848349
E1,68825.0,,68825.0,fill,1.0,2,2.0,6.931,5.437534241475656
E1,68825.0,,68825.0,uncover,1.0,14,14.0,8.156,7.6703003372169025
E1,68825.0,,68825.0,cover,1.0,14,14.0,8.165,7.694345380865998
E1,68825.0,,68825.0,move,1.0,3,2.23606797749979,6.862,5.363640726008107
E1,68825.0,,68825.0,clear,1.0,1,1.0,6.824,5.341220050934622
E1,13662.0,,13662.0,cover,0.0,9,8.06225774829855,7.818,7.222147243202797
E1,13662.0,,13662.0,uncover,1.0,10,9.055385138137417,8.033,7.409884808649553
E1,13662.0,,13662.0,cover,1.0,15,14.035668847618199,7.964,7.349954825033612
E1,13662.0,,13662.0,clear,1.0,2,1.4142135623730951,6.649,5.121596685980811
E1,13662.0,,13662.0,clear,1.0,6,4.47213595499958,6.584,5.100450005580411
E1,13662.0,,13662.0,fill,1.0,3,2.23606797749979,6.516,5.052152023915168
E1,13662.0,,13662.0,move,1.0,7,6.082762530298219,6.461,4.982414460144424
E1,13662.0,,13662.0,uncover,1.0,10,9.055385138137417,7.942,7.308459064158327
E1,13662.0,,13662.0,fill,1.0,15,14.035668847618199,6.527,5.039923466034837
E1,13662.0,,13662.0,move,1.0,3,2.23606797749979,6.579,5.09569551216081
E1,29690.0,,29690.0,fill,1.0,14,13.038404810405298,6.729,5.223401156161638
E1,29690.0,,29690.0,cover,1.0,2,1.4142135623730951,8.636,8.132515788551895
E1,29690.0,,29690.0,clear,1.0,2,1.4142135623730951,6.808,5.2873232229385385
E1,29690.0,,29690.0,uncover,1.0,12,12.0,8.597,8.068848253663134
E1,29690.0,,29690.0,uncover,1.0,2,2.0,8.694,8.186812591388136
E1,29690.0,,29690.0,fill,1.0,9,8.06225774829855,6.731,5.231138409359295
E1,29690.0,,29690.0,cover,-1.0,12,12.0,8.553,8.061429878961505
E1,29690.0,,29690.0,clear,1.0,0,0.0,6.781,5.302072779149428
E1,29690.0,,29690.0,move,1.0,3,2.23606797749979,6.715,5.245924184059855
E1,29690.0,,29690.0,move,1.0,1,1.0,6.731,5.236873980840587
E1,92567.0,,92567.0,uncover,1.0,3,3.0,8.027,7.705041207463873
E1,92567.0,,92567.0,move,1.0,3,2.23606797749979,6.758,5.262710894608566
E1,92567.0,,92567.0,move,1.0,10,10.0,6.63,5.178152109651394
E1,92567.0,,92567.0,clear,1.0,6,5.0990195135927845,6.752,5.261000171617534
E1,92567.0,,92567.0,fill,1.0,6,5.0990195135927845,6.75,5.260592417285072
E1,92567.0,,92567.0,clear,1.0,2,1.4142135623730951,6.563,5.124102691917906
E1,92567.0,,92567.0,uncover,1.0,3,2.23606797749979,8.112,7.776688478452021
E1,92567.0,,92567.0,cover,1.0,7,7.0,7.929,7.587429237404825
E1,92567.0,,92567.0,fill,1.0,2,2.0,6.724,5.261517753047222
E1,92567.0,,92567.0,cover,1.0,12,12.0,8.041,7.718776817901417
E1,96815.0,,96815.0,move,1.0,9,8.06225774829855,6.787,5.3202910462865995
E1,96815.0,,96815.0,uncover,1.0,8,8.0,7.767,7.286301481013124
E1,96815.0,,96815.0,fill,1.0,5,5.0,6.838,5.38294284055301
E1,96815.0,,96815.0,cover,1.0,8,8.0,8.08,7.584984761860275
E1,96815.0,,96815.0,clear,1.0,2,1.4142135623730951,6.693,5.256292759383447
E1,96815.0,,96815.0,move,1.0,5,3.605551275463989,6.826,5.367562649886373
E1,96815.0,,96815.0,uncover,1.0,0,0.0,7.987,7.471295000152033
E1,96815.0,,96815.0,clear,1.0,4,2.8284271247461903,6.735,5.291639321220095
E1,96815.0,,96815.0,fill,1.0,2,2.0,6.859,5.413032700460286
E1,96815.0,,96815.0,cover,1.0,5,5.0,8.191,7.665332509345859
E1,85609.0,,85609.0,move,1.0,11,10.04987562112089,6.779,5.485653800090496
