"ID","goal_type","model","parameter1","parameter2","NLL"
"16229","cover","pragmatic",0.802609868127238,0.432640416830488,50.596397112167
"16229","fill","sal_prag",1.26513237448096,1.20945911702805,67.4320562411868
"16229","fill","literal",2.15074062471152,NA,57.690422146893
"16229","fill","pragmatic",0.842765794458908,0.167414697156319,81.6681060102174
"16229","move","sal_prag",1.43026234030721,1.17155971386396,47.1264132777649
"16229","move","literal",2.15074062471152,NA,38.4690114948599
"16229","move","pragmatic",2.37870766705942,13.8970781372882,50.6943740283042
"16229","uncover","sal_prag",1.19029219349119,1.12809056483483,61.9873227101262
"16229","uncover","literal",2.15074062471152,NA,50.3807774809146
"16229","uncover","pragmatic",0.319177143316192,0.00543459311967609,74.0059264327353
"18558","clear","sal_prag",2.66589691632841,3.29191356473363,61.1491770360331
"18558","clear","literal",39.9312125659754,NA,43.1892317661717
"18558","clear","pragmatic",0.69698923444951,0.536181536230096,66.1565102466303
"18558","cover","sal_prag",-36.5683142853077,198.17997700954,100.864664989405
"18558","cover","literal",39.9312125659754,NA,552.914451451767
"18558","cover","pragmatic",0.191807585460255,0.237688561760427,106.465805609876
"18558","fill","sal_prag",0.324921773691394,0.580640712009516,64.3071438180314
"18558","fill","literal",39.9312125659754,NA,41.5332394046395
"18558","fill","pragmatic",0.199880042082835,0.815928619609462,65.8168880489875
"18558","move","sal_prag",1.14685397438645,1.53309242566806,80.7934696172184
"18558","move","literal",39.9312125659754,NA,125.517913342741
"18558","move","pragmatic",1.46450331852205,18.8535990601221,82.4700539952805
"18558","uncover","sal_prag",2.18562329071959,1.61977679322861,131.660071510353
"18558","uncover","literal",39.9312125659754,NA,768.073140421638
"18558","uncover","pragmatic",0.316506674682922,0.388610089980989,135.501128555655
"19487","clear","sal_prag",-1.66684210303016,-0.365447542542996,27.6886464068452
"19487","clear","literal",47.8649667171058,NA,19.4263550369612
"19487","clear","pragmatic",4.05729070322466,6.55822087970235,29.7554580676159
"19487","cover","sal_prag",0.746310357248678,0.746546578583048,88.6646788033568
"19487","cover","literal",47.8649667171058,NA,198.84040934235
"19487","cover","pragmatic",0.616588636935781,0.310759109767271,95.6578575718686
"19487","fill","sal_prag",0.107707920520022,0.620520055774299,119.14552666022
"19487","fill","literal",47.8649667171058,NA,76.9878927327206
"19487","fill","pragmatic",0.542348188553239,0.201221443765823,121.657995320316
